enterprise_value_q,FCFE,FCFE_Net_Income,FCFF_op_cash_with_tax,FCFF_ebit_with_tax
740481814.9,33890000,100935000,53453581.1,76587279.6
740481814.9,229073000,-89204000,262970673.2,196726870
598433934.2,156632000,-36674000,145794670,135395820
598433934.2,115929000,85659000,78644530,53044290
598433934.2,84842000,-48486000,122627949.6,123521540.6
598433934.2,-30096000,-264688000,125931900,80620850
994479191.1,21244000,29148000,36561820,46292410
994479191.1,107122000,142515000,62563814.2,46136718.4
994479191.1,67871000,35742000,134899804.6,110453842
994479191.1,100852000,153793000,109658035.4,45026533.8
1367603808,82783000,-152953000,190116161.2,228473630
1367603808,109522000,856850000,-224428001.3,-251182339.9
1367603808,145091000,-164575000,297339667.8,260956730.8
1367603808,80813000,389198000,24017550,-1398400
1142666616,137729000,68118000,112686478.4,133970571.2
1142666616,170197000,417486000,11062378.5,34779868.7
1142666616,178156000,556754000,52465007,-43024772.7
1142666616,154052000,-744874000,550542553.2,546839727.8
1378435583,157293000,368788000,-3663695.6,31257665.4
1373489042,67277000,-439177000,422894548.4,467830605.2
1617705519,29188000,211168000,124474085.7,90003727.6
42762948.61,15182000,9178000,21287984,5225544
59788272.91,11059000,158012000,7238023.6,-140784768.6
57604982.15,-5769000,21387000,827972.3,-1837613.8
63759863.33,30392000,24305000,17688892,15359728.4
70972727.07,444000,-13742000,9436954,32817084.8
104259280,60657000,-6777000,78314195.6,31639149.5
108887836,21093000,6484000,35397898.7,22774427.6
145382640.1,19103000,16896000,28013735.9,22583625.3
123455880.2,-28835000,31620000,-21084003.6,16849263.2
183793803.8,48427000,75445000,26070885.4,-9958998.2
193365078.4,13200000,-23244000,41755115,33354865
147995053.2,12097000,18826000,4921690,30213275
170534200,-11013000,23711000,-9495745,28232070
191816656.6,153785000,115150000,91820682.5,2080145.8
295081048.8,19940000,8411000,11917776,43460711.5
269926772.9,32552000,12051000,25802431.8,52278373.2
339784279.8,94789000,135357000,47893347.8,-16885108.2
403940873.8,76752000,37143000,74910806.9,37964726.4
398017878.7,-20395000,-9882000,-6993860.8,47266800.4
386787165,47926000,20285000,41491915.6,47743798.7
368970553,41585000,53609000,26913921,48391948.5
318268710.8,69261000,13591000,60785375.9,46239514.6
248937951.3,16314000,621000,16954378.2,35449301.9
292977314,-11852000,-26827000,92746.8,57027957.6
272751860.2,34783000,74751000,15964483.1,17736729.8
313143946.3,96355000,49487000,77235137.5,30577636.1
355452371.1,-38904000,-7063000,-25309540,35363430
283373342.1,56089000,-37294000,69924048,70639098.3
296470096.3,70313000,58315000,54254700.8,3820534.4
331389971.8,10784000,30171000,17195192,27898508.4
325571089.7,53828000,-17915000,67751060,53946100
353174346.7,77815000,-53319000,91289864,117301168
402748560.9,68198000,73625000,56910891.6,16815027.4
375560433.1,53331000,65550000,49454390,15017290
351508297.5,6181000,-44691000,20578271.2,68308231.2
416650793.9,194865000,263142000,22953202.7,-26186223.3
392671410.4,-30632000,-84575000,23513988.8,147161800.5
299161216.4,166287000,49974000,172398806.9,65738412.8
372124193.7,-56182000,-26885000,-58146120.8,84084973.4
386700842.7,39154000,80804000,6072360,40772280
371460235.4,29958000,-21874000,78241060,94572740
43706968.21,256000,12975000,10309195.2,-77379.2
50273497.54,4961000,50077000,4974656,-41603352.2
46279339.34,6300000,-12592000,16509268,13813308
34180803.03,5547000,5195000,10764999.8,7582661.8
29742724.86,-6890000,-40668000,18269158.7,30316930.7
32108788.12,13918000,24520000,14106759.2,2321036.1
50005147.16,13697000,-8170000,13741833,16724828
39067210.22,7441000,4956000,7772038.8,12172926
31524037.78,10106000,11891000,2350909.2,11917751.2
33970861.76,42747000,17176000,28712859.2,11405700.8
41545757.06,-18454000,-32699000,-6084790,19320010
33823189.45,8324000,-4712000,8148030,1595560
42970952.17,4650000,-20996000,10430080,11786960
49718041.56,-3158000,-884000,-1736520,3760780
95425275.4,82721000,138759000,-3641882.4,-30626018.4
109494419.4,2362000,10513000,20047504,2394608
110765239.9,17297000,19524000,20011120,-4351970
82155504.13,-26160000,3406000,-18444009.4,8178004.6
94298613.22,16858000,24152000,20598589.6,2972818.9
89163291.01,32284000,7674000,40884571.2,15260427.2
70673841.04,18746000,10996000,21988354.5,11464208.3
95719022.33,-21175000,-19617000,-12757144,29222868.8
97689487.28,15139000,14967000,17955839.2,11368077.4
90229194.06,10684000,13142000,18068830.4,8443107.4
161311298.6,-98854000,45818000,-2123072.1,-68387260.5
161311298.6,30468000,625892000,34896466,-545468847.9
225853301.8,-61086000,41794000,-55710621.3,12687419.4
148882441.3,72406000,52580000,79122237.6,25995514.6
202456493.5,-54974000,25380000,-41046302.8,39453866.4
227236046.5,353501000,542417000,73633463,-202653501.1
293596121.4,-14584000,15423000,-35071575,44094910
272194680.2,164182000,335222000,-25502980,-79054455
266746333.7,58292000,96680000,-14836733.2,87190790.2
259187887.3,-41032000,-264592000,122983740,196870300
302472173.2,-14974000,50739000,-22088309.4,-21913338.5
382131705.4,-5185000,164332000,-65500283.2,-32802062.4
371173988.6,38946000,-41467000,66532369.9,86022472
405831115.1,27498000,43937000,46425796.5,27897749
459200498.4,5651000,-43451000,71460667.2,93921618.4
508170114.7,30292000,174226000,-27869696,-42217584
546764612.6,-2382000,156460000,4092771.5,-61990834.5
510901490.6,42008000,312576000,-67302348.8,-93856035.2
464232203.1,69791000,-98047000,130510310,129268431.4
457442584.6,20657000,58196000,9518787.5,-1718549
450948459.5,3258000,22615000,732978.8,36330266
376099858.7,-5490000,-59487000,61653513,65834435.5
379464041.4,-14587000,39644000,1576713.2,-250797
362145728.4,26181000,50455000,27931304,20442345.2
453277330.1,10766000,78327000,1621798,26380458
407326471.3,94766000,91228000,100173136.9,13718870.3
490062590.5,-13322000,79175000,35712339.4,-4009471.4
545275825.3,-9940000,147073000,-17636018.4,-50264040.4
516606000.6,86670000,252522000,13219941.8,-72232704.4
509839809.9,58831000,117006000,49238553.1,-18255290.9
437512913.5,21841000,-203776000,193279820,195143970
417161866.9,21705000,120353000,-44834650,-34710330
380912351,41492000,3784000,49340849.6,81691670.4
391955323.2,18408000,2763000,54573449.7,52825377.7
345603539,25325000,33098000,79356943.5,61974217.3
402107382.2,23735000,274013000,-113765377.5,-116173335.1
