enterprise_value_q,cost_of_equity,used_growth_rate,levered_wacc,FCFE,FCFE_Net_Income,FCFF_op_cash_with_tax,FCFF_ebit_with_tax,ev_sales_valuation,ebitda_valuation
189553098.90,0.12,-0.03,0.09,26023000.00,22147000.00,10785840.00,-20077650.00,91728318.00,-73594127.66
189553098.90,0.07,0.00,0.02,31905000.00,12115000.00,29691090.40,19149060.00,117126696.90,224238344.70
189553098.90,0.12,-0.01,0.09,85522000.00,-47803000.00,102179300.00,47156370.00,134843277.20,97145088.86
200652171.50,0.12,-0.01,0.09,29577000.00,-30155000.00,31539640.00,47440720.00,100761058.50,119345212.50
200652171.50,0.12,0.00,-0.05,29592000.00,-34562000.00,20720372.40,40806354.40,106728185.00,215499817.40
200652171.50,0.12,0.00,0.09,15796000.00,-41330000.00,19590580.00,62032130.00,116833644.00,159548284.70
200652171.50,0.13,0.02,0.09,102267000.00,85797000.00,69695230.00,15079550.00,141878587.40,393776001.10
144620161.70,0.14,-0.01,0.09,29104000.00,10888000.00,14607700.00,19022370.00,174400946.00,34419927.17
144620161.70,0.10,0.00,0.03,16134000.00,1022000.00,22597231.70,43553450.50,238663444.00,242006223.50
144620161.70,0.07,0.00,0.02,26411000.00,5267000.00,20654728.00,34874712.00,220604603.00,182284963.20
144620161.70,0.14,0.00,0.09,47012000.00,-33199000.00,58566250.00,63372460.00,222442958.10,175513182.30
155168752.70,0.14,0.00,0.09,30970000.00,10790000.00,22371590.00,25385070.00,259871893.00,137370256.20
154754054.80,0.15,0.00,0.09,19383000.00,-13794000.00,15903370.00,52710120.00,306189339.50,194168898.50
163983432.60,0.12,0.01,0.04,45395000.00,-19321000.00,35238612.60,78272726.60,316826755.30,308433903.60
163983432.60,0.15,-0.01,0.09,54171000.00,37972000.00,55657120.00,-22283670.00,132689694.20,101334543.60
184324717.80,0.17,-0.02,0.09,22857000.00,-25642000.00,16536780.00,33957500.00,277825571.20,-12889790.45
168245613.90,0.18,0.00,0.09,41913000.00,32473000.00,26731390.00,11300490.00,288042117.80,123580396.20
179882897.90,0.18,0.00,0.09,12367000.00,3222000.00,14076430.00,20807990.00,265986885.30,122950938.50
184324717.80,0.19,-0.01,0.09,40788000.00,-19222000.00,42148680.00,31962710.00,132567549.60,-74182059.34
178151556.00,0.19,-0.01,0.09,2831000.00,-8732000.00,13963870.00,21755030.00,191922447.70,93921743.18
176677740.80,0.18,0.00,0.09,-146000.00,-13677000.00,27074890.00,24116650.00,194288030.50,173638840.60
179015368.90,0.14,0.02,0.06,39411000.00,-54426000.00,85473033.40,66416059.90,256624800.00,286848304.90
178151556.00,0.15,-0.01,0.09,48583000.00,-68976000.00,73043610.00,65209130.00,171335988.40,116351430.00
209896658.80,0.15,0.02,0.05,104517000.00,16020000.00,121415209.90,30023818.50,330042853.10,767272429.70
248938045.70,0.13,0.01,0.05,8754000.00,17055000.00,13504549.20,22378937.60,316634653.40,545262047.90
220141216.60,0.13,0.01,0.05,80560000.00,19190000.00,85075588.00,18771584.80,290873640.00,497902361.00
2520086.17,0.11,-0.04,0.09,-244657.00,-1281581.00,1289226.42,-469695.41,3669409.98,-1244728.28
3074078.33,0.12,-0.03,0.09,2046290.00,2653001.00,1263122.85,-2105587.97,3653190.19,-3079436.06
3058851.02,0.13,0.01,0.09,2652714.00,-418659.00,2006061.08,2787112.16,4500020.79,4365584.24
3056143.02,0.12,-0.02,0.09,36714.00,330357.00,229780.33,292662.64,4516297.01,1887309.87
2589283.69,0.12,-0.01,0.09,43018.00,-481626.00,562847.34,1028292.84,3967841.17,2610233.75
1844462.94,0.12,0.01,0.09,2744195.00,123430.00,3440126.32,941420.91,4613111.59,4404480.46
2919993.38,0.13,0.00,0.09,5053185.00,-126578.00,3042342.58,3636221.42,4881074.49,4805733.50
2944649.77,0.12,0.00,0.08,1788380.00,-926557.00,2061008.27,2349169.80,4087685.02,5581079.64
2095934.90,0.14,-0.04,0.09,1806448.00,-29546.00,1278785.16,434466.56,2744311.34,-871652.65
2362684.38,0.15,0.06,0.09,411882.00,3543064.00,-96839.03,1696943.63,6251577.40,15294284.66
8995340.95,0.15,0.08,0.08,4158857.00,1511672.00,3242812.19,6372095.76,10397874.13,23037268.80
16259769.08,0.11,0.07,0.07,4855824.00,4669386.00,5306243.42,1492072.41,10829887.58,31555332.72
14968347.12,0.17,0.05,0.08,11424514.00,6308719.00,8122934.79,4273193.50,11531728.88,32104400.18
14323263.13,0.15,0.07,0.08,1293539.00,8340200.00,2160233.62,1492275.44,15075944.72,47921938.07
27492351.15,0.14,0.03,0.07,7064517.00,-8899526.00,8155466.87,13854213.14,14963027.45,46634229.09
15967191.35,0.18,-0.01,0.09,13966129.00,6610427.00,8773524.30,139791.48,13661437.68,8725298.76
13639109.59,0.14,0.02,0.07,510133.00,-304455.00,1761890.25,4362199.59,15483954.70,41668639.08
15102375.08,0.17,0.02,0.07,14538713.00,16311156.00,3988719.07,-228922.20,15145785.65,46066614.94
18646382.11,0.17,0.00,0.08,-914201.00,-10372482.00,4318433.47,9031702.57,13005710.77,29385241.19
14115805.97,0.19,0.00,-0.29,6238098.00,-3502590.00,6442707.12,2906536.79,15021300.63,22924720.93
15484513.29,0.15,0.02,0.07,-600303.00,-1347715.00,1188738.02,5123124.20,13437493.65,47501946.03
19422147.56,0.20,-0.02,0.09,5204755.00,6179275.00,2070462.46,-2979218.78,16867078.05,-5677073.55
17525323.19,0.20,-0.01,0.09,-984696.00,-167040.00,-1506522.13,2087036.11,31384369.90,1661821.60
16498146.41,0.16,0.02,0.06,4900732.00,7601701.00,376609.75,3029113.04,34371177.62,36864584.82
16572202.55,0.18,0.02,0.07,3486841.00,3961087.00,3441431.78,3135639.74,27804383.88,40003500.55
13548082.43,0.15,0.03,0.07,2502562.00,1417746.00,7870037.42,1184602.00,30317180.54,47392232.24
15300743.70,0.14,0.05,0.07,-3444808.00,6934619.00,-2099286.04,3516836.31,56103307.01,91718107.70
23767537.53,0.14,0.04,0.07,9415566.00,12420339.00,7845372.20,120572.59,50608115.93,84533684.06
19022240.95,0.13,0.03,0.07,5058261.00,-132659.00,7702080.67,5464021.59,48094205.30,57760101.91
